,ClusterCoefficient,Indegree,Outdegree,ClosenessCentrality,BetweennessCentrality,InOverOut,Activity
Midiana-stormrage,0.0004903970853565578,0,69,0.0,0.0,0.0,69
Tamek-hellscream,0.0009258182394502871,16,0,0.25029293122544866,0.0,inf,16
Oozo-shandris,0.0004831340675334862,181,4,0.27960461643496465,0.0001593863211496891,45.25,185
Barespanks-emerald-dream,0.0005934843729514571,49,226,0.24296069916149848,0.0002966936948333636,0.2168141592920354,275
Chaaka-stormscale,0.0004494560963462433,116,110,0.27455190143275154,0.0005585919242970762,1.0545454545454545,226
Ofman-dragonmaw,0.0006041947900411731,4,16,0.22023351999144594,4.139223404657054e-06,0.25,20
Guédaille-barthilas,0.0,1,0,0.20076240876044688,0.0,inf,1
Kinki-haomarush,0.0030920057959456636,0,4,0.0,0.0,0.0,4
Magixmike-zuljin,0.00043630735977133743,58,296,0.28128703254866727,0.0007532102524324733,0.19594594594594594,354
Nawat-emerald-dream,0.0002721179782821403,871,2207,0.29147272605342717,0.00852763351005698,0.39465337562301767,3078
Squeekitoy-area-52,0.0005171344568620051,2,4,0.20124449243832046,7.014837402371112e-07,0.5,6
Jugaa-arthas,0.0008776050264370034,63,82,0.26437004190164026,0.00038896394434268314,0.7682926829268293,145
Vandren-emerald-dream,0.0007228128554269004,0,6,0.0,0.0,0.0,6
Azulla-magtheridon,0.00025743918066357404,70,282,0.2705263929316509,0.0011200469481249592,0.24822695035460993,352
Pemmin-dalaran,0.002327308309411315,0,3,0.0,0.0,0.0,3
Queensryche-2388,0.0,0,1,0.0,0.0,0.0,1
Shroomä-area-52,0.00033915281689545764,14,11,0.23668013877132463,3.135148968474713e-05,1.2727272727272727,25
Damienkarras-dawnbringer,0.0,0,1,0.0,0.0,0.0,1
Kayama-ysera,0.000386562623354102,572,716,0.28900371945734377,0.0025503444335717093,0.7988826815642458,1288
Megynkelley-illidan,0.00029828945310430384,23,1,0.2521139323050801,5.500375542916026e-06,23.0,24
Hogx-darkspear,0.00035141900911213455,1103,759,0.300833183006693,0.004189854331389439,1.453227931488801,1862
Nahj-tichondrius,0.00034085345372956175,847,277,0.2911149409042343,0.00259836531246424,3.0577617328519855,1124
Naysayers-mugthol,0.001007081150452262,4,2,0.2288643351019708,2.0899607060481723e-06,2.0,6
Zarie-firetree,0.000647133348536204,0,17,0.0,0.0,0.0,17
Featherfeet-barthilas,0.0002822908695886016,556,2514,0.29259539423273745,0.008035312050441203,0.2211614956245028,3070
Woodhaus-arthas,0.0003756852727117847,1,31,0.18962381803390013,1.3877062555569394e-07,0.03225806451612903,32
Kiddo-thalnos,0.0019702139618630954,0,35,0.0,0.0,0.0,35
Snøzy-tichondrius,0.0,1,0,0.21353266824971032,0.0,inf,1
Saeth-21626,0.00018587360594795544,0,6,0.0,0.0,0.0,6
Piril-moon-guard,0.0028905644749640676,15,30,0.2209240483753057,1.0873293697800506e-05,0.5,45
Yeetcannon-ysondre,0.000654069139227406,158,923,0.27994271149715927,0.001559210130930012,0.17118093174431204,1081
Dasar-tichondrius,0.00012001376293113203,25,6,0.24109320723865837,1.5921584489168052e-05,4.166666666666667,31
Arcbandit-tichondrius,0.001468148797957492,2,11,0.21050247101537778,4.952717612806727e-06,0.18181818181818182,13
sajinprince-2445,0.0,0,1,0.0,0.0,0.0,1
Bourbons-stormrage,0.0010654469846043129,24,0,0.26561986062688775,0.0,inf,24
Shirt-wyrmrest-accord,0.0006297160838023135,43,152,0.2603842792797132,0.0002956163665978858,0.28289473684210525,195
Whitly-thunderfury,0.0014464514115949526,0,9,0.0,0.0,0.0,9
Jerryßuck-tichondrius,0.000615432070171321,44,53,0.2855830046153175,0.00028205239893497216,0.8301886792452831,97
Exis-kelthuzad,0.0003998295309065787,6,0,0.23150115077161576,0.0,inf,6
Boltqt-incendius,0.0009121548740124543,281,44,0.27261979255733115,0.000246361602340965,6.386363636363637,325
Watchmelag-cenarius,0.0009126970920787082,0,40,0.0,0.0,0.0,40
Claudio-tichondrius,0.0001934958593180809,15,2,0.2273233773119729,5.478888610784125e-05,7.5,17
CornyCorny-1140,0.0007910546229271342,0,36,0.0,0.0,0.0,36
Plasm-wyrmrest-accord,0.0008096143960242292,0,7,0.0,0.0,0.0,7
Sam-29703,0.0,0,1,0.0,0.0,0.0,1
Inemia-wyrmrest-accord,0.00016745924162888152,2,8,0.20214398863129038,2.7181731892421427e-05,0.25,10
Pizzadawg-tichondrius,0.0007332220880223024,18,240,0.248435834874226,0.00041959782698210705,0.075,258
Smorcy-eredar,0.0007010599147050809,2,14,0.2071701319088597,2.787424783784828e-06,0.14285714285714285,16
Krips-illidan,0.0,0,2,0.0,0.0,0.0,2
Tea-1466,0.0006821775976640005,0,252,0.0,0.0,0.0,252
Kahr-ravencrest,0.0007343517396407747,0,82,0.0,0.0,0.0,82
Aeydrvs-sargeras,0.0007039795555045585,2,9,0.00013190871916633689,8.423205676134068e-06,0.2222222222222222,11
Diago-burning-blade,0.0004520291935946835,97,141,0.281335864277019,0.0006186725261812349,0.6879432624113475,238
Randalx-2801,0.0,0,3,0.0,0.0,0.0,3
Martak-silvermoon,0.00027495324904043246,0,358,0.0,0.0,0.0,358
Ajahnbrahm-malganis,0.00030502413623685896,4,50,0.21449121260764412,0.0001173980031237969,0.08,54
Kidneykelly-emerald-dream,0.0,0,1,0.0,0.0,0.0,1
Epøhx-dalaran,0.0011291619970390378,0,14,0.0,0.0,0.0,14
peroggo-2543,0.0010164283938686892,0,26,0.0,0.0,0.0,26
Naginaru-2664,0.0009556869593262746,0,4,0.0,0.0,0.0,4
Bledez-azgalor,0.0013736526682582445,0,18,0.0,0.0,0.0,18
Colai-moon-guard,0.0007871069322059877,0,8,0.0,0.0,0.0,8
Maczej-2268,0.0006195786864931849,0,2,0.0,0.0,0.0,2
